,$Drive force on cart_i$,Drive force on payload
0,2.0,0.39999999999999986
1,0.5941159434848482,0.3695000000000004
2,2.8261717673786757,0.3403256249999993
3,1.029331473627392,0.31245204609374944
4,1.3223355492988373,0.28585301351660164
5,1.464480656945356,0.2605010270582263
6,0.9393702294935338,0.23636749703351057
7,0.9617025416452121,0.21342289610553383
8,0.9097113210657279,0.19163690225573227
9,0.7004306409944108,0.1709785331967139
10,0.6090657886189599,0.15141627252280548
11,0.547910285392675,0.13291818789229132
12,0.44037312108195414,0.11545204153354888
13,0.34120268227639805,0.09898539336492501
14,0.27101143472706113,0.08348569701532965
15,0.20429377244074098,0.0689203890289738
16,0.1325779671988725,0.055256971534043575
17,0.06646289230316049,0.04246308865052906
18,0.010667121642697008,0.03050659690804519
19,-0.03926910614072243,0.019355629939301344
20,-0.08700258732615751,0.008978657709652005
21,-0.13170051038598585,-0.000655459462332364
22,-0.17146911849234137,-0.00957742184422894
23,-0.20622076967046743,-0.017817445945848
24,-0.23716727798895132,-0.025405224655111303
25,-0.26519482715037235,-0.03236989162292625
26,-0.2903245545455104,-0.03873998967280745
27,-0.3122613034104913,-0.04454344301733004
28,-0.3309926433940533,-0.04980753307014785
29,-0.3468602780318588,-0.054558877648896775
30,-0.3602765013418714,-0.05882341337084185
31,-0.3714897667106305,-0.06262638104986362
32,-0.38057882131718745,-0.06599231390993376
33,-0.3875851300309243,-0.06894502843679862
34,-0.3926194629843063,-0.07150761769621661
35,-0.3958679283718203,-0.07370244695351225
36,-0.39753171196502546,-0.07555115143569735
37,-0.3977717570366379,-0.07707463608372922
38,-0.39669815957491394,-0.07829307714876532
39,-0.39439604128004646,-0.07922592549238083
40,-0.390956386668333,-0.0798919114569212
41,-0.386488272416472,-0.08030905117793663
42,-0.3811103112615921,-0.08049465421658153
43,-0.37493420287676216,-0.08046533239558595
44,-0.36805425356195043,-0.0802370097278986
45,-0.3605481151733838,-0.07982493333263652
46,-0.35248487270331186,-0.07924368523819036
47,-0.34393305748978564,-0.07850719497761227
48,-0.3349635412808176,-0.07762875288631199
49,-0.3256470826784059,-0.07662102401702775
50,-0.31604973947214443,-0.07549606259181041
51,-0.3062297399834035,-0.0742653269152238
52,-0.2962374572983504,-0.07293969467749684
53,-0.28611775713723153,-0.07152947858060899
54,-0.27591275163751794,-0.07004444222441553
55,-0.2656632898624416,-0.06849381619392936
56,-0.2554087247854979,-0.0668863142927062
57,-0.24518564210520788,-0.06523014987097042
58,-0.2350266659480229,-0.06353305220065286
59,-0.224960119127386,-0.061802282853024804
60,-0.21501061571657276,-0.0600446520376533
61,-0.20520010124077048,-0.058266534864816366
62,-0.19554871632214255,-0.05647388749631843
63,-0.18607511235523022,-0.05467226315250362
64,-0.17679624874269573,-0.05286682794616526
65,-0.16772698644108308,-0.05106237651642709
66,-0.15887983050988197,-0.049263347438341376
67,-0.15026500468128612,-0.04747383838617303
68,-0.14189080900753748,-0.04569762103063102
69,-0.13376406159436494,-0.04393815565248527
70,-0.12589042122188454,-0.042198605456847504
71,-0.11827449740307694,-0.04048185057449549
72,-0.11091979101471994,-0.03879050173827936
73,-0.10382859054653082,-0.037126913624391356
74,-0.0970019435784173,-0.03549319784983984
75,-0.09043975296850659,-0.03389123561903884
76,-0.08414096533465765,-0.03232269001370902
77,-0.07810377322925666,-0.030789017921739492
78,-0.07232575940211872,-0.029291481601746105
79,-0.06680395633638314,-0.02783115988135121
80,-0.06153484421774902,-0.026408958988131115
81,-0.05651433727050659,-0.025025623013316345
82,-0.05173780230090275,-0.023681744009106054
83,-0.04720012458721268,-0.022377771721439177
84,-0.042895805331554904,-0.021114022960682544
85,-0.03881905904276284,-0.01989069061363058
86,-0.034963883955089425,-0.018707852300637873
87,-0.031324097077944923,-0.017565478682478375
88,-0.027893344835622003,-0.016463441421948666
89,-0.02466510977106795,-0.01540152080583268
90,-0.021632730285849444,-0.014379413033140276
91,-0.018789438406536352,-0.013396737176098017
92,-0.016128408342575895,-0.012453041820574717
93,-0.013642802832565692,-0.0115478113929669
94,-0.011325806812755523,-0.010680472180916056
95,-0.009170645738330485,-0.009850398055297527
96,-0.007170593650234203,-0.009056915901309304
97,-0.005318979579536087,-0.008299310766424095
98,-0.003609199055951251,-0.00757683073331894
99,-0.0020347323837985876,-0.006888691525823276
