,$K_{x}$,$K_{v_x}$,$K_{\alpha}$,$K_{\omega}$,$K_{l}$,$K_{v_l}$
0,1.0000000000000049,2.6767958567393904,-0.8102060973148136,-0.823297069649402,0.9999999999999971,2.9999999999999964
1,1.0000000000000082,2.6767490508295344,-0.8089774341967935,-0.8207639074562257,1.0000000000000013,3.0000000000000027
2,0.9999999999999893,2.6766739014757825,-0.8070047957808073,-0.8166954681572962,1.0000000000000022,3.000000000000006
3,0.999999999999998,2.6765727765287983,-0.8043503965480803,-0.8112181966881951,0.9999999999999993,3.000000000000001
4,1.000000000000001,2.676447958934294,-0.801074234204955,-0.804453575529869,1.0000000000000013,3.000000000000006
5,0.9999999999999869,2.676301641798575,-0.7972339550192368,-0.796517999297934,1.0000000000000004,3.0
6,1.0000000000000047,2.676135924688069,-0.7928847523853373,-0.7875226933487777,1.0000000000000002,2.9999999999999996
7,1.0000000000000029,2.6759528110324853,-0.7880792951364459,-0.777573671793392,0.999999999999999,2.999999999999997
8,1.0000000000000007,2.6757542065106876,-0.7828676823394816,-0.7667717305707067,0.9999999999999971,2.9999999999999907
9,0.9999999999999973,2.675541918304897,-0.7772974215233684,-0.7552124714991828,0.9999999999999997,3.000000000000001
10,0.9999999999999999,2.6753176551183366,-0.7714134275087465,-0.7429863534973309,1.0000000000000009,3.000000000000003
11,1.0000000000000073,2.675083027859057,-0.7652580392132585,-0.7301787674296758,0.9999999999999977,2.999999999999993
12,0.9999999999999869,2.674839550899914,-0.7588710520088805,-0.7168701312974917,0.9999999999999991,2.9999999999999982
13,0.9999999999999966,2.674588643832854,-0.7522897634022566,-0.7031360027478712,0.9999999999999981,2.999999999999996
14,1.0000000000000069,2.6743316336404965,-0.7455490299900169,-0.6890472061198885,1.000000000000003,3.0000000000000093
15,1.0000000000000056,2.6740697572173353,-0.738681333820913,-0.6746699714827649,1.0000000000000009,3.0000000000000013
16,0.9999999999999999,2.673804164176705,-0.7317168564617489,-0.6600660833472372,1.0000000000000009,3.0000000000000053
17,0.9999999999999992,2.6735359198865756,-0.7246835592234331,-0.6452930369465127,1.0000000000000013,3.0000000000000036
18,0.9999999999999958,2.673266008682591,-0.7176072681555644,-0.6304042001889133,0.9999999999999991,2.9999999999999964
19,1.0000000000000007,2.6729953372122894,-0.7105117625592772,-0.6154489795784769,1.0000000000000036,3.0000000000000084
20,1.000000000000006,2.6727247378687546,-0.7034188659048749,-0.6004729885840401,0.9999999999999988,2.9999999999999982
21,1.0000000000000029,2.672454972277361,-0.6963485381646848,-0.5855182171098153,0.9999999999999994,3.0000000000000004
22,1.0000000000000049,2.672186734803244,-0.6893189686952402,-0.5706232008835814,0.9999999999999982,2.999999999999998
23,1.0000000000000056,2.6719206560509394,-0.6823466689089762,-0.5558231897289754,1.0000000000000013,3.0000000000000027
24,0.9999999999999937,2.6716573063323708,-0.6754465640833635,-0.541150313829924,1.0,2.9999999999999964
25,0.9999999999999964,2.6713971990819787,-0.6686320837483776,-0.5266337472244216,0.9999999999999993,2.999999999999998
26,0.9999999999999949,2.671140794201182,-0.6619152501828969,-0.5122998678850131,0.9999999999999988,2.999999999999999
27,1.0000000000000029,2.6708885013181463,-0.6553067646299872,-0.498172413851731,0.9999999999999989,2.9999999999999956
28,0.9999999999999967,2.670640682950343,-0.6488160909155783,-0.4842726349830627,0.9999999999999997,2.999999999999998
29,0.9999999999999962,2.6703976575609643,-0.6424515362195775,-0.4706194399792734,1.0,2.9999999999999987
30,0.9999999999999949,2.670159702501437,-0.636220328809347,-0.45722953841335245,1.0000000000000004,3.0000000000000013
31,1.0000000000000016,2.6699270568352036,-0.630128692596783,-0.44411757757543885,0.9999999999999991,2.999999999999997
32,1.000000000000003,2.669699924038983,-0.6241819184278511,-0.4312962740002828,0.9999999999999974,2.9999999999999956
33,0.9999999999999978,2.669478474579539,-0.618384432052982,-0.4187765396021452,1.0000000000000004,3.000000000000001
