,Cart position,Cart velocity,Sway angle $\alpha$,Angular velocity,Sling length,Sling length changing speed
0,0.00851769091151461,0.14359252577370418,-0.0777653636727191,-1.1538878866055622,0.1005,0.009999999999999997
1,0.016214234159185433,0.00993706806066012,-0.07893172593266327,1.136549762586562,0.10196187500000001,0.019237500000000005
2,0.026445834573509727,0.2108686089659078,-0.0318841065310748,-0.4335343790491002,0.10431103203125,0.027745640624999984
3,0.048257224887747426,0.215366446836811,-0.060986563224785934,-0.00481829788121918,0.10747616115136718,0.035556941777343726
4,0.07073870152962508,0.24012243237361514,-0.04389620848640242,0.26484893668735543,0.1113891715959973,0.042703267115258764
5,0.09841066226499319,0.31676341279239506,-0.033825608760689685,-0.10985030187311734,0.11598512459134595,0.049215792791714424
6,0.13118661768074535,0.33706192633120413,-0.038783966377465506,0.03258814637333746,0.1212021632418093,0.05512498021755219
7,0.16610377427907272,0.3640456593663919,-0.030675317458462203,0.09537190638178955,0.12698143988369642,0.06046055262019054
8,0.2043219324453222,0.40236717053025506,-0.02465131774141127,0.0008958892292335596,0.13326704127353514,0.06525147517658383
9,0.24566009350175036,0.42467851290867964,-0.023819530324120063,0.012560577416411894,0.14000591195768944,0.06952593850650168
10,0.2889242464691687,0.44182484679771644,-0.020219200457592228,0.04637192531737369,0.1471477761489931,0.07331134531957181
11,0.33402498025923816,0.46174124644392445,-0.01563364276644779,0.029524336692126146,0.15464505841581566,0.0766343000168791
12,0.38096527694958554,0.47795631700075064,-0.012993700596947884,0.01462602823828224,0.1624528034694205,0.07952060105521783
13,0.4292557922214861,0.48857691809490617,-0.010849783904790293,0.021577170037439544,0.17052859531664843,0.08199523588934096
14,0.4784910393374358,0.49707405255335196,-0.008040002495528512,0.026297023896493577,0.1788324760268517,0.0840823783147242
15,0.5285245697888561,0.504521216968678,-0.0052898150717687244,0.020950914385553687,0.18732686434461035,0.08580538804044854
16,0.5791936755894658,0.5095750829468163,-0.0031628608120143633,0.015869418943914405,0.19597647436307275,0.08718681232879963
17,0.6302319926245877,0.5118003837491208,-0.00134658465572547,0.015793866057544226,0.20474823445676588,0.08824838954506287
18,0.6813923705001753,0.5120281421834509,0.0005070829627198323,0.01673022788331688,0.2136112066574072,0.089011054467764
19,0.7325085099265443,0.5109043980516969,0.0023291588981724023,0.01542955122991114,0.2225365066416077,0.08949494521624654
20,0.7834460496180502,0.5083800381176571,0.003925335411033724,0.012896980400280802,0.23149722448536944,0.08971941165898784
21,0.8340555421462712,0.5042601101605283,0.005273417085604684,0.011146922340160164,0.2404683463269403,0.08970302517242953
22,0.8841809527089688,0.49865098504325206,0.006480545118932854,0.010482517851406855,0.249426677066878,0.08946358962632381
23,0.9336876757431541,0.49186249858523007,0.0076170444054729745,0.009968102962032686,0.2583507642220781,0.08901815347767761
24,0.9824698267102585,0.4841297898698554,0.008665064699816987,0.00896442555017632,0.26722082303902694,0.08838302286129981
